"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"9:37:48.0037117 PM","#Metin2TR.Net_Giris.exe","20680","RegQueryValue","HKLM\System\CurrentControlSet\Services\Winsock\Setup Migration\Providers\Tcpip\WinSock 2.0 Provider ID","SUCCESS","Type: REG_BINARY, Length: 16, Data: A0 1A 0F E7 8B AB CF 11 8C A3 00 80 5F 48 A1 92"
"9:37:48.0037214 PM","#Metin2TR.Net_Giris.exe","20680","RegCloseKey","HKLM\System\CurrentControlSet\Services\Winsock\Setup Migration\Providers\Tcpip","SUCCESS",""
"9:37:48.0037295 PM","#Metin2TR.Net_Giris.exe","20680","RegCloseKey","HKLM\System\CurrentControlSet\Services\Winsock\Setup Migration\Providers","SUCCESS",""
"9:37:48.0037416 PM","#Metin2TR.Net_Giris.exe","20680","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"9:37:48.0037488 PM","#Metin2TR.Net_Giris.exe","20680","RegQueryKey","HKLM","SUCCESS","Query: Name"
"9:37:48.0037592 PM","#Metin2TR.Net_Giris.exe","20680","RegOpenKey","HKLM\System\CurrentControlSet\Services\Tcpip\Parameters\Winsock","REPARSE","Desired Access: Read"
"9:37:48.0037687 PM","#Metin2TR.Net_Giris.exe","20680","RegOpenKey","HKLM\System\CurrentControlSet\Services\Tcpip\Parameters\Winsock","SUCCESS","Desired Access: Read"
"9:37:48.0037782 PM","#Metin2TR.Net_Giris.exe","20680","RegSetInfoKey","HKLM\System\CurrentControlSet\Services\Tcpip\Parameters\Winsock","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"9:37:48.0037860 PM","#Metin2TR.Net_Giris.exe","20680","RegQueryValue","HKLM\System\CurrentControlSet\Services\Tcpip\Parameters\Winsock\MinSockaddrLength","SUCCESS","Type: REG_DWORD, Length: 4, Data: 16"
"9:37:48.0037950 PM","#Metin2TR.Net_Giris.exe","20680","RegQueryValue","HKLM\System\CurrentControlSet\Services\Tcpip\Parameters\Winsock\MaxSockaddrLength","SUCCESS","Type: REG_DWORD, Length: 4, Data: 16"
"9:37:48.0038038 PM","#Metin2TR.Net_Giris.exe","20680","RegQueryValue","HKLM\System\CurrentControlSet\Services\Tcpip\Parameters\Winsock\UseDelayedAcceptance","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"9:37:48.0038136 PM","#Metin2TR.Net_Giris.exe","20680","RegCloseKey","HKLM\System\CurrentControlSet\Services\Tcpip\Parameters\Winsock","SUCCESS",""
"9:37:48.0040694 PM","#Metin2TR.Net_Giris.exe","20680","CreateFile","C:\Windows\SysWOW64\dnsapi.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:37:48.0040982 PM","#Metin2TR.Net_Giris.exe","20680","QueryBasicInformationFile","C:\Windows\SysWOW64\dnsapi.dll","SUCCESS","CreationTime: 4/27/2025 6:31:20 AM, LastAccessTime: 7/14/2025 9:37:45 PM, LastWriteTime: 4/27/2025 6:31:20 AM, ChangeTime: 5/11/2025 1:59:00 PM, FileAttributes: A"
"9:37:48.0041077 PM","#Metin2TR.Net_Giris.exe","20680","CloseFile","C:\Windows\SysWOW64\dnsapi.dll","SUCCESS",""
"9:37:48.0041751 PM","#Metin2TR.Net_Giris.exe","20680","CreateFile","C:\Windows\SysWOW64\dnsapi.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:37:48.0042116 PM","#Metin2TR.Net_Giris.exe","20680","CreateFileMapping","C:\Windows\SysWOW64\dnsapi.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE|PAGE_NOCACHE"
"9:37:48.0042312 PM","#Metin2TR.Net_Giris.exe","20680","CreateFileMapping","C:\Windows\SysWOW64\dnsapi.dll","SUCCESS","SyncType: SyncTypeOther"
"9:37:48.0043294 PM","#Metin2TR.Net_Giris.exe","20680","Load Image","C:\Windows\SysWOW64\dnsapi.dll","SUCCESS","Image Base: 0x71160000, Image Size: 0xdc000"
"9:37:48.0044197 PM","#Metin2TR.Net_Giris.exe","20680","CloseFile","C:\Windows\SysWOW64\dnsapi.dll","SUCCESS",""
